id,Artist,Song Title,Year,Rank,Genre
385,"Bobby ""Boris"" Pickett and The Crypt Kickers",Monster Mash,1973.0,38,Rock/Soul
386,Bloodstone,Natural High,1973.0,39,Rock/Soul/Pop
387,Seals and Crofts,Diamond Girl,1973.0,40,Rock/Soul/Pop
388,Doobie Brothers,Long Train Running,1973.0,41,Rock
389,George Harrison,Give Me Love (Give Me Peace On Earth),1973.0,42,Rock/Pop
390,Sly and The Family Stone,If You Want Me To Stay,1973.0,43,Funk/Soul
391,Jermaine Jackson,Daddy's Home,1973.0,44,Rock/Soul/Pop
392,Gladys Knight and The Pips,Neither One Of Us (Wants To Be The First To Say Goodbye),1973.0,45,Soul/R&B
393,New York City,I'm Doing Fine Now,1973.0,46,Rock/Soul/Pop
394,Spinners,Could It Be I'm Falling In Love,1973.0,47,Soul/R&B
395,Elton John,Daniel,1973.0,48,Rock/Pop
396,Gladys Knight and The Pips,Midnight Train To Georgia,1973.0,49,Soul/R&B
397,Deep Purple,Smoke On The Water,1973.0,50,Rock/Soul/Pop
398,Barbra Streisand,The Way We Were,1974.0,1,Pop/Vocal
399,Terry Jacks,Seasons In The Sun,1974.0,2,Rock/Soul/Pop
400,Redbone,Come And Get Your Love,1974.0,4,Rock/Soul/Pop
401,Jackson 5,Dancing Machine,1974.0,5,Soul/Pop
402,Grand Funk Railroad,The Loco-Motion,1974.0,6,Rock/Soul/Pop
403,MFSB,TSOP,1974.0,7,Rock/Soul/Pop
404,Ray Stevens,The Streak,1974.0,8,Rock/Soul/Pop
405,Elton John,Bennie And The Jets,1974.0,9,Rock/Pop
406,Mac Davis,One Hell Of A Woman,1974.0,10,Rock/Soul/Pop
407,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),1974.0,11,Soul/R&B
408,Kool and The Gang,Jungle Boogie,1974.0,12,Funk/R&B
409,Maria Muldaur,Midnight At The Oasis,1974.0,13,Rock/Soul/Pop
410,Stylistics,You Make Me Feel Brand New,1974.0,14,Rock/Soul/Pop
411,Al Wilson,Show And Tell,1974.0,15,Rock/Soul/Pop
412,Jim Stafford,Spiders And Snakes,1974.0,16,Rock/Soul/Pop
413,David Essex,Rock On,1974.0,17,Rock/Soul/Pop
414,John Denver,Sunshine On My Shoulders,1974.0,18,Folk/Country
415,Blue Magic,Sideshow,1974.0,19,Rock/Soul/Pop
416,Blue Swede,Hooked On A Feeling,1974.0,20,Rock/Soul/Pop
417,Bo Donaldson and The Heywoods,Billy Don't Be A Hero,1974.0,21,Rock/Soul
418,Paul McCartney and Wings,Band On The Run,1974.0,22,Rock/Soul/Pop
419,Charlie Rich,The Most Beautiful Girl,1974.0,23,Rock/Soul/Pop
420,Jim Croce,Time In A Bottle,1974.0,24,Rock/Soul/Pop
421,John Denver,Annie's Song,1974.0,25,Folk/Country
422,Paul Anka,(You're) Having My Baby,1974.0,26,Pop
423,Olivia Newton-John,Let Me Be There,1974.0,27,Pop/Country
424,Gordon Lightfoot,Sundown,1974.0,28,Rock/Soul/Pop
425,Andy Kim,Rock Me Gently,1974.0,29,Rock/Soul/Pop
426,Eddie Kendricks,Boogie Down,1974.0,30,Rock/Soul/Pop
427,Ringo Starr,You're Sixteen,1974.0,31,Rock/Soul/Pop
428,Olivia Newton-John,If You Love Me (Let Me Know),1974.0,32,Pop/Country
429,Cher,Dark Lady,1974.0,33,Pop/Rock/Dance
430,Gladys Knight and The Pips,Best Thing That Ever Happened To Me,1974.0,34,Soul/R&B
431,Roberta Flack,Feel Like Makin' Love,1974.0,35,Soul/R&B
432,Main Ingredient,Just Don't Want To Be Lonely,1974.0,36,Rock/Soul/Pop
433,Billy Preston,Nothing From Nothing,1974.0,37,Rock/Soul/Pop
434,George McCrae,Rock Your Baby,1974.0,38,Rock/Soul/Pop
435,Carpenters,Top Of The World,1974.0,39,Pop/Soft Rock
436,Steve Miller Band,The Joker,1974.0,40,Rock
437,Gladys Knight and The Pips,I've Got To Use My Imagination,1974.0,41,Soul/R&B
438,Three Dog Night,The Show Must Go On,1974.0,42,Rock
439,Hues Corporation,Rock The Boat,1974.0,43,Rock/Soul/Pop
440,Brownsville Station,Smokin' In The Boy's Room,1974.0,44,Rock/Soul/Pop
441,Stevie Wonder,Living For The City,1974.0,45,Soul/R&B
442,Dionne Warwick and The Spinners,Then Came You,1974.0,46,Rock/Soul
443,Paper Lace,The Night Chicago Died,1974.0,47,Rock/Soul/Pop
444,Marvin Hamlisch,The Entertainer,1974.0,48,Rock/Soul/Pop
445,ABBA,Waterloo,1974.0,49,Pop/Disco
446,Hollies,The Air That I Breathe,1974.0,50,Rock/Pop
447,Captain and Tennille,Love Will Keep Us Together,1975.0,1,Pop
448,Glen Campbell,Rhinestone Cowboy,1975.0,2,Country/Pop
449,Elton John,Philadelphia Freedom,1975.0,3,Rock/Pop
450,Freddy Fender,Before The Next Teardrop Falls,1975.0,4,Pop/Rock/Disco
451,Frankie Valli,My Eyes Adored You,1975.0,5,Pop
452,"Earth, Wind and Fire",Shining Star,1975.0,6,R&B/Soul/Funk
453,David Bowie,Fame,1975.0,7,Rock/Pop/Art Rock
454,Neil Sedaka,Laughter In The Rain,1975.0,8,Pop
455,Eagles,One Of These Nights,1975.0,9,Rock/Country
456,John Denver,Thank God I'm A Country Boy,1975.0,10,Folk/Country
457,Bee Gees,Jive Talkin',1975.0,11,Disco/Pop
458,Eagles,Best Of My Love,1975.0,12,Rock/Country
459,Minnie Riperton,Lovin' You,1975.0,13,Pop/Rock/Disco
460,Carl Douglas,Kung Fu Fighting,1975.0,14,Pop/Rock/Disco
461,Doobie Brothers,Black Water,1975.0,15,Rock
462,Sweet,Ballroom Blitz,1975.0,16,Glam Rock
463,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,1975.0,17,Pop/Rock/Disco
464,Tony Orlando and Dawn,He Don't Love You (Like I Love You),1975.0,18,Pop
465,Janis Ian,At Seventeen,1975.0,19,Pop/Rock/Disco
466,Average White Band,Pick Up The Pieces,1975.0,20,Rock/Soul
467,Labelle,Lady Marmalade,1975.0,22,Pop/Rock/Disco
468,War,Why Can't We Be Friends?,1975.0,23,Pop/Rock/Disco
469,Major Harris,Love Won't Let Me Wait,1975.0,24,Pop/Rock/Disco
470,Stevie Wonder,Boogie On Reggae Woman,1975.0,25,Soul/R&B
471,Freddy Fender,Wasted Days And Wasted Nights,1975.0,26,Pop/Rock/Disco
472,Isley Brothers,"Fight The Power, Pt. 1",1975.0,27,Rock/Soul
473,Helen Reddy,Angie Baby,1975.0,28,Pop
474,Ozark Mountain Daredevil,Jackie Blue,1975.0,29,Pop/Rock/Disco
475,Ohio Players,Fire,1975.0,30,Pop/Rock/Disco
476,Pilot,Magic,1975.0,31,Pop/Rock/Disco
477,Carpenters,Please Mr. Postman,1975.0,32,Pop/Soft Rock
478,America,Sister Golden Hair,1975.0,33,Pop/Rock/Disco
479,Elton John,Lucy In The Sky With Diamonds,1975.0,34,Rock/Pop
480,Barry Manilow,Mandy,1975.0,35,Pop/Adult Contemporary
481,Olivia Newton-John,Have You Never Been Mellow,1975.0,36,Pop/Country
482,Barry Manilow,Could It Be Magic,1975.0,37,Pop/Adult Contemporary
483,Harry Chapin,Cat's In The Cradle,1975.0,38,Pop/Rock/Disco
484,Michael Murphy,Wildfire,1975.0,39,Pop/Rock/Disco
485,Jessi Colter,I'm Not Lisa,1975.0,40,Pop/Rock/Disco
486,Wings,Listen To What The Man Said,1975.0,41,Rock
487,10cc,I'm Not In Love,1975.0,42,Art Rock/Pop
488,Billy Swan,I Can Help,1975.0,43,Pop/Rock/Disco
489,"Hamilton, Joe Frank and Reynolds",Fallin' In Love,1975.0,44,Pop/Rock/Disco
490,Morris Albert,Feelings,1975.0,45,Pop/Rock/Disco
491,Sammy Johns,Chevy Van,1975.0,46,Pop/Rock/Disco
492,Linda Ronstadt,When Will I Be Loved,1975.0,47,Rock/Country/Pop
493,Barry White,"You're The First, The Last, My Everything",1975.0,48,Pop/Rock/Disco
494,Olivia Newton-John,Please Mr Please,1975.0,49,Pop/Country
495,Linda Ronstadt,You're No Good,1975.0,50,Rock/Country/Pop
496,Wings,Silly Love Songs,1976.0,1,Rock
497,Elton John and Kiki Dee,Don't Go Breaking My Heart,1976.0,2,Rock/Pop
498,Johnnie Taylor,Disco Lady,1976.0,3,Pop/Rock/Disco
499,Four Seasons,"December, 1963 (Oh, What A Night)",1976.0,4,Pop/Rock/Disco
500,Wild Cherry,Play That Funky Music,1976.0,5,Pop/Rock/Disco
501,Manhattans,Kiss And Say Goodbye,1976.0,6,Soul/R&B
502,Miracles,Love Machine (Part 1),1976.0,7,Pop/Rock/Disco
503,Paul Simon,50 Ways To Leave Your Lover,1976.0,8,Folk/Pop
504,Gary Wright,Love Is Alive,1976.0,9,Rock/Pop
505,Daryl Hall and John Oates,Sara Smile,1976.0,11,Pop Rock/Soul
506,Starland Vocal Band,Afternoon Delight,1976.0,12,Rock/Soul
507,Barry Manilow,I Write The Songs,1976.0,13,Pop/Adult Contemporary
508,Silver Convention,"Fly, Robin, Fly",1976.0,14,Pop/Rock/Disco
509,Diana Ross,Love Hangover,1976.0,15,Pop/Soul
510,Seals and Crofts,Get Closer,1976.0,16,Pop/Rock/Disco
511,Andrea True Connection,"More, More, More",1976.0,17,Pop/Rock/Disco
512,Queen,Bohemian Rhapsody,1976.0,18,Rock
513,Dorothy Moore,Misty Blue,1976.0,19,Pop/Rock/Disco
514,Sylvers,Boogie Fever,1976.0,20,Pop/Rock/Disco
515,England Dan and John Ford Coley,I'd Really Love To See You Tonight,1976.0,21,Pop/Rock/Disco
516,Hot Chocolate,You Sexy Thing,1976.0,22,Pop/Rock/Disco
517,Nazareth,Love Hurts,1976.0,23,Pop/Rock/Disco
518,Silver Convention,Get Up And Boogie,1976.0,24,Pop/Rock/Disco
519,Eagles,Take It To The Limit,1976.0,25,Rock/Country
520,K.C. and The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty",1976.0,26,Disco/Funk
521,Commodores,Sweet Love,1976.0,27,Soul/Funk
522,Maxine Nightingale,Right Back Where We Started From,1976.0,28,Pop/Rock/Disco
523,Ohio Players,Love Rollercoaster,1976.0,30,Pop/Rock/Disco
524,Bee Gees,You Should Be Dancing,1976.0,31,Disco/Pop
525,Lou Rawls,You'll Never Find Another Love Like Mine,1976.0,32,Pop/Rock/Disco
526,David Bowie,Golden Years,1976.0,33,Rock/Pop/Art Rock
527,Starbuck,Moonlight Feels Right,1976.0,34,Pop/Rock/Disco
528,Dr. Hook,Only Sixteen,1976.0,35,Rock/Pop
529,Bellamy Brothers,Let Your Love Flow,1976.0,36,Rock/Soul
530,Gary Wright,Dream Weaver,1976.0,37,Rock/Pop
531,Vicki Sue Robinson,Turn The Beat Around,1976.0,38,Pop/Rock/Disco
532,Captain and Tennille,Lonely Night (Angel Face),1976.0,39,Pop
533,Eric Carmen,All By Myself,1976.0,40,Pop/Rock/Disco
534,Donna Summer,Love To Love You Baby,1976.0,41,Disco/R&B
535,Donny and Marie Osmond,Deep Purple,1976.0,42,Pop/Rock/Disco
536,Diana Ross,"Theme From ""Mahogany""",1976.0,43,Pop/Soul
537,Rufus,Sweet Thing,1976.0,44,Pop/Rock/Disco
538,K.C. and The Sunshine Band,That's The Way I Like It,1976.0,45,Disco/Funk
539,Dr. Hook,A Little Bit More,1976.0,46,Rock/Pop
540,Henry Gross,Shannon,1976.0,47,Pop/Rock/Disco
541,Chicago,If You Leave Me Now,1976.0,48,Rock/Pop
542,Boz Scaggs,Lowdown,1976.0,49,Pop/Rock/Disco
543,Peter Frampton,Show Me The Way,1976.0,50,Rock
544,Rod Stewart,Tonight's The Night (Gonna Be Alright),1977.0,1,Rock/Pop
545,Andy Gibb,I Just Want To Be Your Everything,1977.0,2,Pop/Disco
546,Emotions,Best Of My Love,1977.0,3,Pop/Rock/Disco
547,Barbra Streisand,"Love Theme From ""A Star Is Born""",1977.0,4,Pop/Vocal
548,Hot,Angel In Your Arms,1977.0,5,Pop/Rock/Disco
549,Kenny Nolan,I Like Dreamin',1977.0,6,Pop/Rock/Disco
550,Thelma Houston,Don't Leave Me This Way,1977.0,7,Pop/Rock/Disco
551,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher,1977.0,8,Pop/Rock/Disco
552,Alan O'Day,Undercover Angel,1977.0,9,Pop/Rock/Disco
553,Mary MacGregor,Torn Between Two Lovers,1977.0,10,Pop/Rock/Disco
554,K.C. and The Sunshine Band,I'm Your Boogie Man,1977.0,11,Disco/Funk
555,ABBA,Dancing Queen,1977.0,12,Pop/Disco
556,Leo Sayer,You Make Me Feel Like Dancing,1977.0,13,Pop/Rock
557,Jimmy Buffett,Margaritaville,1977.0,14,Pop/Rock/Disco
558,Electric Light Orchestra,Telephone Line,1977.0,15,Pop/Rock/Disco
559,Pablo Cruise,Whatcha Gonna Do?,1977.0,16,Soft Rock
560,Peter McCann,Do You Wanna Make Love?,1977.0,17,Pop/Rock/Disco
561,Stevie Wonder,Sir Duke,1977.0,18,Soul/R&B
562,Eagles,Hotel California,1977.0,19,Rock/Country
563,Marvin Gaye,"Got To Give It Up, Pt. 1",1977.0,20,Soul/R&B
564,Bill Conti,"Theme From ""Rocky"" (Gonna Fly Now)",1977.0,21,Pop/Rock/Disco
565,Glen Campbell,Southern Nights,1977.0,22,Country/Pop
566,Daryl Hall and John Oates,Rich Girl,1977.0,23,Pop Rock/Soul
567,Leo Sayer,When I Need You,1977.0,24,Pop/Rock
568,Sylvers,Hot Line,1977.0,25,Pop/Rock/Disco
569,Rose Royce,Car Wash,1977.0,26,Pop/Rock/Disco
570,Marilyn McCoo and Billy Davis Jr.,You Don't Have To Be A Star,1977.0,27,Pop/Rock/Disco
571,Steve Miller Band,Fly Like An Eagle,1977.0,28,Rock
572,David Soul,Don't Give Up On Us,1977.0,29,Pop/Rock/Disco
573,Stephen Bishop,On And On,1977.0,30,Pop/Rock/Disco
574,Foreigner,Feels Like The First Time,1977.0,31,Rock
575,Climax Blues Band,Couldn't Get It Right,1977.0,32,Blues Rock
576,Commodores,Easy,1977.0,33,Soul/Funk
577,Jennifer Warnes,Right Time Of The Night,1977.0,34,Pop/Rock/Disco
578,Natalie Cole,I've Got Love On My Mind,1977.0,35,R&B/Jazz/Pop
579,Manfred Mann's. Earth Band,Blinded By The Light,1977.0,36,Rock/Soul
580,Barry Manilow,Looks Like We Made It,1977.0,37,Pop/Adult Contemporary
581,Atlanta Rhythm Section,So In To You,1977.0,38,Pop/Rock/Disco
582,Fleetwood Mac,Dreams,1977.0,39,Rock/Pop
583,Jacksons,Enjoy Yourself,1977.0,40,Soul/Funk/Pop
584,Brick,Dazz,1977.0,41,Pop/Rock/Disco
585,Peter Frampton,I'm In You,1977.0,42,Rock
586,Kenny Rogers,Lucille,1977.0,43,Country/Pop
587,10cc,The Things We Do For Love,1977.0,44,Art Rock/Pop
588,Shaun Cassidy,Da Doo Ron Ron,1977.0,45,Pop/Rock/Disco
589,James Taylor,Handy Man,1977.0,46,Pop/Rock/Disco
590,"Crosby, Stills and Nash",Just A Song Before I Go,1977.0,47,Pop/Rock/Disco
591,Alice Cooper,You And Me,1977.0,48,Pop/Rock/Disco
592,Johnny Rivers,Swayin' To The Music (Slow Dancin'),1977.0,49,Rock/Pop
593,Andrew Gold,Lonely Boy,1977.0,50,Pop/Rock/Disco
594,Andy Gibb,Shadow Dancing,1978.0,1,Pop/Disco
595,Bee Gees,Night Fever,1978.0,2,Disco/Pop
596,Debby Boone,You Light Up My Life,1978.0,3,Pop/Rock/Disco
597,Bee Gees,Stayin' Alive,1978.0,4,Disco/Pop
598,Exile,Kiss You All Over,1978.0,5,Pop/Rock/Disco
599,Bee Gees,How Deep Is Your Love,1978.0,6,Disco/Pop
600,Player,Baby Come Back,1978.0,7,Pop/Rock/Disco
601,Andy Gibb,(Love Is) Thicker Than Water,1978.0,8,Pop/Disco
602,A Taste Of Honey,Boogie Oogie Oogie,1978.0,9,Pop/Rock/Disco
603,Commodores,Three Times A Lady,1978.0,10,Soul/Funk
604,Frankie Valli,Grease,1978.0,11,Pop
605,Paul Davis,I Go Crazy,1978.0,12,Pop/Rock/Disco
606,John Travolta and Olivia Newton-John,You're The One That I Want,1978.0,13,Pop/Rock/Disco
607,Samantha Sang,Emotion,1978.0,14,Pop/Rock/Disco
608,Eric Clapton,Lay Down Sally,1978.0,15,Rock/Blues
609,Rolling Stones,Miss You,1978.0,16,Rock
610,Billy Joel,Just The Way You Are,1978.0,17,Rock/Pop
611,Wings,With A Little Luck,1978.0,18,Rock
612,Yvonne Elliman,If I Can't Have You,1978.0,19,Pop/Rock/Disco
613,Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",1978.0,20,Disco/Funk
614,Nick Gilder,Hot Child In The City,1978.0,22,Pop/Rock/Disco
615,Sweet,Love Is Like Oxygen,1978.0,23,Glam Rock
616,Bonnie Tyler,It's A Heartache,1978.0,24,Pop/Rock/Disco
617,Queen,We Will Rock You / We Are The Champions,1978.0,25,Rock
618,Gerry Rafferty,Baker Street,1978.0,26,Pop/Rock/Disco
619,Barry Manilow,Can't Smile Without You,1978.0,27,Pop/Adult Contemporary
620,Johnny Mathis and Deniece Williams,"Too Much, Too Little, Too Late",1978.0,28,Pop/Rock/Disco
621,Peter Brown,Dance With Me,1978.0,29,Pop/Rock/Disco
622,Meat Loaf,Two Out Of Three Ain't Bad,1978.0,30,Pop/Rock/Disco
623,Raydio,Jack And Jill,1978.0,31,Pop/Rock/Disco
624,ABBA,Take A Chance On Me,1978.0,32,Pop/Disco
625,Dan Hill,Sometimes When We Touch,1978.0,33,Pop/Rock/Disco
626,Donna Summer,Last Dance,1978.0,34,Disco/R&B
627,Olivia Newton-John,Hopelessly Devoted To You,1978.0,35,Pop/Country
628,Foreigner,Hot Blooded,1978.0,36,Rock
629,Rod Stewart,You're In My Heart,1978.0,37,Rock/Pop
630,Roberta Flack and Donny Hathaway,The Closer I Get To You,1978.0,38,Soul/R&B
631,Kansas,Dust In The Wind,1978.0,39,Pop/Rock/Disco
632,Walter Egan,Magnet And Steel,1978.0,40,Pop/Rock/Disco
633,Randy Newman,Short People,1978.0,41,Pop/Rock/Disco
634,O'Jays,Use Ta Be My Girl,1978.0,42,Soul/R&B
635,Natalie Cole,Our Love,1978.0,43,R&B/Jazz/Pop
636,Pablo Cruise,Love Will Find A Way,1978.0,44,Soft Rock
637,Andy Gibb,An Everlasting Love,1978.0,45,Pop/Disco
638,John Paul Young,Love Is In The Air,1978.0,46,Pop/Rock/Disco
639,David Gates,Goodbye Girl,1978.0,47,Pop/Rock/Disco
640,Paul Simon,Slip Slidin' Away,1978.0,48,Folk/Pop
641,Heatwave,The Groove Line,1978.0,49,Pop/Rock/Disco
642,Jay Ferguson,Thunder Island,1978.0,50,Pop/Rock/Disco
643,Knack,My Sharona,1979.0,1,Pop/Rock/Disco
644,Donna Summer,Bad Girls,1979.0,2,Disco/R&B
645,Chic,Le Freak,1979.0,3,Disco/Funk
646,Rod Stewart,Da Ya Think I'm Sexy,1979.0,4,Rock/Pop
647,Peaches and Herb,Reunited,1979.0,5,Pop/Rock/Disco
648,Gloria Gaynor,I Will Survive,1979.0,6,Pop/Rock/Disco
649,Donna Summer,Hot Stuff,1979.0,7,Disco/R&B
650,Village People,Y.M.C.A.,1979.0,8,Disco
651,Anita Ward,Ring My Bell,1979.0,9,Pop/Rock/Disco
652,Robert John,Sad Eyes,1979.0,10,Pop/Rock/Disco
653,Bee Gees,Too Much Heaven,1979.0,11,Disco/Pop
654,Donna Summer,MacArthur Park,1979.0,12,Disco/R&B
655,Dr. Hook,When You're In Love With A Beautiful Woman,1979.0,13,Rock/Pop
656,David Naughton,Makin' It,1979.0,14,Pop/Rock/Disco
657,Pointer Sisters,Fire,1979.0,15,R&B/Pop/Dance
658,Bee Gees,Tragedy,1979.0,16,Disco/Pop
659,Olivia Newton-John,A Little More Love,1979.0,17,Pop/Country
660,Blondie,Heart Of Glass,1979.0,18,New Wave/Pop
661,Doobie Brothers,What A Fool Believes,1979.0,19,Rock
662,Chic,Good Times,1979.0,20,Disco/Funk
663,Barbra Streisand and Neil Diamond,You Don't Bring Me Flowers,1979.0,21,Pop/Vocal
664,Amii Stewart,Knock On Wood,1979.0,22,Pop/Rock/Disco
665,Suzi Quatro and Chris Norman,Stumblin' In,1979.0,23,Pop/Rock/Disco
666,Maxine Nightingale,Lead Me On,1979.0,24,Pop/Rock/Disco
667,Jacksons,Shake Your Body,1979.0,25,Soul/Funk/Pop
668,Melissa Manchester,Don't Cry Out Loud,1979.0,26,Pop/Rock/Disco
669,Supertramp,The Logical Song,1979.0,27,Pop/Rock/Disco
670,Billy Joel,My Life,1979.0,28,Rock/Pop
671,Randy Vanwarmer,Just When I Needed You Most,1979.0,29,Pop/Rock/Disco
672,Raydio,You Can't Change That,1979.0,30,Pop/Rock/Disco
673,Peaches and Herb,Shake Your Groove Thing,1979.0,31,Pop/Rock/Disco
674,Dionne Warwick,I'll Never Love This Way Again,1979.0,32,Pop/Rock/Disco
675,Bee Gees,Love You Inside Out,1979.0,33,Disco/Pop
676,Cheap Trick,I Want You To Want Me,1979.0,34,Pop/Rock/Disco
677,Barbra Streisand,The Main Event (Fight),1979.0,35,Pop/Vocal
678,Elton John,Mama Can't Buy You Love,1979.0,36,Rock/Pop
679,Leif Garrett,I Was Made For Dancin',1979.0,37,Pop/Rock/Disco
680,"Earth, Wind and Fire",After The Love Has Gone,1979.0,38,R&B/Soul/Funk
681,Donna Summer and Brooklyn Dreams,Heaven Knows,1979.0,39,Disco/R&B
682,Kenny Rogers,The Gambler,1979.0,40,Country/Pop
683,Nicolette Larson,Lotta Love,1979.0,41,Pop/Rock/Disco
684,Little River Band,Lady,1979.0,42,Rock/Soul
685,Bonnie Pointer,Heaven Must Have Sent You,1979.0,43,Pop/Rock/Disco
686,Toto,Hold The Line,1979.0,44,Rock/Pop
687,Sister Sledge,He's The Greatest Dancer,1979.0,45,Disco/R&B
688,Dr. Hook,Sharing The Night Together,1979.0,46,Rock/Pop
689,Kenny Rogers,She Believes In Me,1979.0,47,Country/Pop
690,Village People,In The Navy,1979.0,48,Disco
691,Charlie Daniels Band,The Devil Went Down To Georgia,1979.0,50,Rock/Soul
692,Blondie,Call Me,1980.0,1,New Wave/Pop
693,Pink Floyd,Another Brick In The Wall,1980.0,2,Pop/Rock/Disco
694,Olivia Newton-John,Magic,1980.0,3,Pop/Country
695,Michael Jackson,Rock With You,1980.0,4,Pop/R&B
696,Captain and Tennille,Do That To Me One More Time,1980.0,5,Pop
697,Queen,Crazy Little Thing Called Love,1980.0,6,Rock
698,Paul McCartney,Coming Up,1980.0,7,Pop/Rock/Disco
699,"Lipps, Inc.",Funkytown,1980.0,8,Pop/Rock/Disco
700,Billy Joel,It's Still Rock And Roll To Me,1980.0,9,Rock/Pop
701,Bette Midler,The Rose,1980.0,10,Pop
702,Rupert Holmes,Escape (The Pina Colada Song),1980.0,11,Pop/Rock/Disco
703,Gary Numan,Cars,1980.0,12,Pop/Rock/Disco
704,Smokey Robinson,Cruisin',1980.0,13,Pop/Rock/Disco
705,Spinners,Working My Way Back To You-Forgive Me Girl,1980.0,14,Soul/R&B
706,Air Supply,Lost In Love,1980.0,15,Soft Rock/Pop
707,Elton John,Little Jeannie,1980.0,16,Rock/Pop
708,Christopher Cross,Ride Like The Wind,1980.0,17,Pop/Rock/Disco
709,Diana Ross,Upside Down,1980.0,18,Pop/Soul
710,K.C. and The Sunshine Band,Please Don't Go,1980.0,19,Disco/Funk
711,Styx,Babe,1980.0,20,Rock
712,Billy Preston and Syreeta,With You I'm Born Again,1980.0,21,Pop/Rock/Disco
713,Manhattans,Shining Star,1980.0,22,Soul/R&B
714,Commodores,Still,1980.0,23,Soul/Funk
715,Dr. Hook,Sexy Eyes,1980.0,25,Rock/Pop
716,Robbie Dupree,Steal Away,1980.0,26,Pop/Rock/Disco
717,Ambrosia,Biggest Part Of Me,1980.0,27,Pop/Rock/Disco
718,Kenny Loggins,This Is It,1980.0,28,Rock/Pop
719,Spinners,Cupid/I've Loved You For A Long Time,1980.0,29,Soul/R&B
720,Jermaine Jackson,Let's Get Serious,1980.0,30,Pop/Rock/Disco
721,Kenny Rogers and Kim Carnes,Don't Fall In Love With A Dreamer,1980.0,31,Country/Pop
722,Christopher Cross,Sailing,1980.0,32,Pop/Rock/Disco
723,Dan Fogelberg,Longer,1980.0,33,Pop/Rock/Disco
724,Kenny Rogers,Coward Of The County,1980.0,34,Country/Pop
725,Kool and The Gang,Ladies Night,1980.0,35,Funk/R&B
726,Kool and The Gang,Too Hot,1980.0,36,Funk/R&B
727,S.O.S. Band,Take Your Time,1980.0,37,Rock/Pop
728,Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough),1980.0,38,Pop/Vocal
729,Kim Carnes,More Love,1980.0,39,Pop/Rock/Disco
730,M,Pop Muzik,1980.0,40,Pop/Rock/Disco
731,Pretenders,Brass In Pocket,1980.0,41,Pop/Rock/Disco
732,"Ray, Goodman and Brown",Special Lady,1980.0,42,Pop/Rock/Disco
733,Stevie Wonder,Send One Your Love,1980.0,43,Soul/R&B
734,Shalamar,The Second Time Around,1980.0,44,Pop/Rock/Disco
735,Cliff Richard,We Don't Talk Anymore,1980.0,45,Pop/Rock/Disco
736,Brothers Johnson,Stomp,1980.0,46,Rock/Pop
737,Eagles,Heartache Tonight,1980.0,47,Rock/Country
738,Rocky Burnette,Tired Of Toein' The Line,1980.0,48,Pop/Rock/Disco
739,Dr. Hook,Better Love Next Time,1980.0,49,Rock/Pop
740,Rupert Holmes,Him,1980.0,50,Pop/Rock/Disco
741,Kim Carnes,Bette Davis Eyes,1981.0,1,Pop/Rock/Disco
742,Diana Ross and Lionel Richie,Endless Love,1981.0,2,Pop/Soul
743,Kenny Rogers,Lady,1981.0,3,Country/Pop
744,John Lennon,(Just Like) Starting Over,1981.0,4,Rock/Pop
745,Rick Springfield,Jessie's Girl,1981.0,5,Pop/Rock/Disco
746,Kool and The Gang,Celebration,1981.0,6,Funk/R&B
747,Daryl Hall and John Oates,Kiss On My List,1981.0,7,Pop Rock/Soul
748,Eddie Rabbitt,I Love A Rainy Night,1981.0,8,Pop/Rock/Disco
749,Dolly Parton,9 To 5,1981.0,9,Country
750,REO Speedwagon,Keep On Loving You,1981.0,10,Rock
751,Sheena Easton,Morning Train (Nine To Five),1981.0,12,Pop
752,Smokey Robinson,Being With You,1981.0,13,Pop/Rock/Disco
753,Juice Newton,Queen Of Hearts,1981.0,14,Country/Pop
754,Blondie,Rapture,1981.0,15,New Wave/Pop
755,Ray Parker Jr. and Raydio,A Woman Needs Love,1981.0,16,Pop/Rock/Disco
756,Blondie,The Tide Is High,1981.0,17,New Wave/Pop
757,Grover Washington Jr.,Just The Two Of Us,1981.0,18,Pop/Rock/Disco
758,Pointer Sisters,Slow Hand,1981.0,19,R&B/Pop/Dance
759,Climax Blues Band,I Love You,1981.0,20,Blues Rock
760,John Lennon,Woman,1981.0,21,Rock/Pop
761,A Taste Of Honey,Sukiyaki,1981.0,22,Pop/Rock/Disco
762,ABBA,The Winner Takes It All,1981.0,23,Pop/Disco
763,Stars On 45,Medley,1981.0,24,Pop/Rock/Disco
764,Juice Newton,Angel Of The Morning,1981.0,25,Country/Pop
765,Neil Diamond,Love On The Rocks,1981.0,26,Pop/Rock
766,Air Supply,Every Woman In The World,1981.0,27,Soft Rock/Pop
767,Air Supply,The One That You Love,1981.0,28,Soft Rock/Pop
768,Barbra Streisand and Barry Gibb,Guilty,1981.0,29,Pop/Vocal
769,Styx,The Best Of Times,1981.0,30,Rock
770,Oak Ridge Boys,Elvira,1981.0,31,Pop/Rock/Disco
